rank,model,backend,accuracy,balanced_accuracy,f1,roc_auc,fit_seconds
1,logistic_regression,sklearn,0.956140350877193,0.9503968253968254,0.9655172413793104,0.9947089947089948,0.0066
2,extra_trees,sklearn,0.9298245614035088,0.9097222222222223,0.9466666666666667,0.9867724867724867,0.0495
3,hist_gradient_boosting,sklearn,0.9385964912280702,0.9265873015873016,0.9523809523809523,0.9851190476190477,0.664
4,random_forest,sklearn,0.9210526315789473,0.9077380952380952,0.9387755102040817,0.9814814814814815,0.0841
